longitude,latitude,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,gpxtpx_TrackPointExtension
-77.04794,38.848001,0,0,246,11,,,,,,,,,,,,,,,,,,,,,,,        
-77.047969,38.847942,0,0,247,11,,,,,,,,,,,,,,,,,,,,,,,        
-77.048006,38.847886,0,0,248,10.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.04816,38.847701,0,0,249,11,,,,,,,,,,,,,,,,,,,,,,,        
-77.048198,38.847666,0,0,250,11.2,,,,,,,,,,,,,,,,,,,,,,,        
-77.048407,38.847421,0,0,251,11.2,,,,,,,,,,,,,,,,,,,,,,,        
-77.048575,38.847104,0,0,252,10.4,,,,,,,,,,,,,,,,,,,,,,,        
-77.048595,38.847038,0,0,253,10.4,,,,,,,,,,,,,,,,,,,,,,,        
-77.048642,38.846836,0,0,254,11,,,,,,,,,,,,,,,,,,,,,,,        
-77.048609,38.846655,0,0,255,11.4,,,,,,,,,,,,,,,,,,,,,,,        
-77.04861,38.846597,0,0,256,11.2,,,,,,,,,,,,,,,,,,,,,,,        
-77.048653,38.846416,0,0,257,10.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.048665,38.846289,0,0,258,10.4,,,,,,,,,,,,,,,,,,,,,,,        
-77.048705,38.84597,0,0,259,10,,,,,,,,,,,,,,,,,,,,,,,        
-77.048725,38.845915,0,0,260,9.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.048751,38.845864,0,0,261,9.6,,,,,,,,,,,,,,,,,,,,,,,        
-77.04881,38.845756,0,0,262,9.2,,,,,,,,,,,,,,,,,,,,,,,        
-77.048837,38.845661,0,0,263,9,,,,,,,,,,,,,,,,,,,,,,,        
-77.048847,38.845606,0,0,264,9,,,,,,,,,,,,,,,,,,,,,,,        
-77.048872,38.845493,0,0,265,8.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.048915,38.845168,0,0,266,9,,,,,,,,,,,,,,,,,,,,,,,        
-77.048913,38.844702,0,0,267,8,,,,,,,,,,,,,,,,,,,,,,,        
-77.048911,38.844489,0,0,268,7.6,,,,,,,,,,,,,,,,,,,,,,,        
